,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year
4780,Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2294,2814,2016
4781,Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2648,3290,2016
4782,Indian Institute of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1539,2401,2016
4783,Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Integrated Master of Technology)",OPEN,Gender-Neutral,5095,6385,2016
4784,Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Integrated Master of Technology)",OPEN,Gender-Neutral,7089,8781,2016
4785,Indian Institute of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,6263,8275,2016
4786,Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Integrated Master of Technology)",OPEN,Gender-Neutral,1127,1464,2016
4787,Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2690,3800,2016
4788,Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2876,4036,2016
4789,Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5462,6969,2016
4790,Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5998,7921,2016
4791,Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6028,8573,2016
4792,Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,7432,8852,2016
